"Timestamp","Gender ","Choose one","Age"," [I realise immediately when I lose my temper]"," [I can 'reframe' bad situations quickly]"," [I am able to always motive myself to do difficult tasks]"," [I am always able to see things from the other person's viewpoint]"," [I am an excellent listener]"," [I know when I am happy]"," [I do not wear my 'heart on my sleeve']"," [I am usually able to prioritise important activities at work and get on with them]"," [I am excellent at empathising with someone else's problem]"," [I never interrupt other people's conversations]"," [I usually recognise when I am stressed]"," [Others can rarely tell what kind of mood I am in]"," [I always meet deadlines]"," [I can tell if someone is not happy with me]"," [I am good at adapting and mixing with a variety of people]"," [When I am being 'emotional' I am aware of this]"," [I rarely 'fly off the handle' at other people]"," [I never waste time]"," [I can tell if a team of people are not getting along with each other]"," [People are the most interesting thing in life for me]"," [When I feel anxious I usually can account for the reason(s)]"," [Difficult people do not annoy me]"," [I do not prevaricate]"," [I can usually understand why people are being difficult towards me]"," [I can consciously alter my frame of mind or mood]"," [I always know when I'm being unreasonable]"," [I can consciously alter my frame of mind or mood]"," [I believe you should do the difficult things first]"," [Other individuals are not 'difficult' just 'different']"," [I need a variety of work colleagues to make my job interesting]"," [Awareness of my own emotions is very important to me at all times]"," [I do not let stressful situations or people affect me once I have left work]"," [Delayed gratification is a virtue that I hold to]"," [I can understand if I am being unreasonable]"," [I like to ask questions to find out what it is important to people]"," [I can tell if someone has upset or annoyed me]"," [I rarely worry about work or life in general]"," [I believe in 'Action this Day']"," [I can understand why my actions sometimes offend others]"," [I see working with difficult people as simply a challenge to win them over]"," [I can let anger 'go' quickly so that it no longer affects me]"," [I can suppress my emotions when I need to]"," [I can always motivate myself even when I feel low]"," [I can sometimes see things from others' point of view]"," [I am good at reconciling differences with other people]"," [I know what makes me happy]"," [Others often do not know how I am feeling about things]"," [Motivations has been the key to my success]"," [Reasons for disagreements are always clear to me]"," [I generally build solid relationships with those I work with]"
"2017/05/02 9:39:15 PM GMT","Male","University","20","3","2","2","3","3","3","3","2","3","2","3","3","2","2","2","2","3","1","2","2","2","2","2","2","2","3","3","2","3","2","3","1","2","3","2","3","1","2","2","2","3","3","3","3","3","2","3","2","3","2"
"2017/05/02 9:49:15 PM GMT","Male","University","18","5","1","5","3","5","5","5","1","5","5","5","1","5","5","1","5","5","5","5","1","5","5","1","5","5","5","5","1","5","1","5","1","1","5","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2017/05/03 4:59:27 AM GMT","Female","University","60","3","3","3","3","2","3","3","2","3","2","3","3","2","2","2","3","3","2","2","3","3","2","2","2","3","3","3","2","3","3","3","2","2","3","2","3","2","2","2","2","3","3","3","3","3","3","2","3","2","2"
"2017/05/03 6:03:29 AM GMT","Female","University","20","2","3","2","2","2","3","1","2","3","2","3","1","2","3","2","2","3","1","3","3","3","2","2","2","3","2","3","3","2","3","2","3","2","2","3","3","3","2","2","1","2","3","3","3","2","2","2","2","2","1"
"2017/05/03 11:15:51 AM GMT","Male","University","19","4","4","3","4","4","4","2","3","4","4","4","2","4","4","4","4","2","1","4","4","3","3","3","3","4","3","4","5","4","5","4","3","5","4","4","5","3","3","4","4","3","5","2","4","5","4","3","4","4","4"
"2017/05/03 11:40:20 AM GMT","Male","University","25","5","5","5","5","5","5","5","5","5","4","4","5","5","5","5","4","4","3","4","5","5","5","5","5","5","5","5","5","5","4","5","4","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2017/05/03 12:01:47 PM GMT","Female","University","21","3","3","4","2","3","5","3","3","2","4","5","4","3","4","3","3","2","2","4","3","3","1","4","2","3","3","3","4","4","3","3","2","3","3","3","4","1","3","2","2","3","4","4","3","1","5","5","5","3","3"
"2017/05/03 12:11:25 PM GMT","Female","Professional workers","23","2","2","3","3","3","3","1","3","3","3","3","3","2","3","3","3","3","3","3","3","2","1","2","2","2","2","2","3","3","2","2","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3"
"2017/05/03 4:00:05 PM GMT","Male","University","25","5","5","5","5","4","5","2","5","5","2","5","4","4","5","4","2","4","4","5","5","4","2","5","4","4","3","4","3","3","2","4","4","3","4","4","4","3","4","4","4","4","3","4","4","4","4","3","4","4","4"
"2017/05/03 4:06:10 PM GMT","Female","University","22","3","5","4","3","4","5","2","4","5","1","5","1","4","4","4","3","1","3","4","3","1","3","1","2","4","2","4","5","3","3","4","3","3","2","4","5","1","5","3","3","3","5","4","3","3","5","4","5","3","5"
"2017/05/03 6:52:27 PM GMT","Female","University","20","4","3","3","3","4","5","3","4","5","4","4","4","3","4","4","4","2","3","3","3","4","2","2","3","2","2","2","3","3","3","2","3","2","3","4","4","3","3","3","3","5","4","3","4","4","5","3","3","2","3"
"2017/05/03 7:02:23 PM GMT","Male","University","20","5","4","4","5","5","3","4","3","4","3","4","5","4","4","1","4","4","3","4","3","3","3","3","4","5","5","5","3","5","5","5","4","3","4","5","4","4","3","2","2","4","5","5","5","3","3","4","5","3","3"
"2017/05/03 7:06:29 PM GMT","Male","Professional workers","23","3","5","5","4","3","5","3","3","3","1","5","5","4","4","5","5","3","2","3","2","3","1","3","3","3","3","3","4","4","3","3","3","3","3","3","4","4","3","3","2","1","3","5","2","3","5","5","4","3","4"
"2017/05/03 7:14:40 PM GMT","Male","University","22","5","4","4","5","5","5","5","5","5","3","4","4","3","4","4","4","4","3","4","3","4","2","3","4","4","4","4","5","3","4","3","4","4","3","4","4","3","4","4","4","5","5","3","4","4","4","3","4","4","4"
"2017/05/03 7:28:28 PM GMT","Female","University","23","4","4","4","2","4","4","4","4","4","3","4","1","4","4","4","4","3","4","4","5","4","1","5","2","4","3","4","4","2","2","5","3","3","2","5","4","2","5","4","3","4","3","5","3","5","5","2","4","3","3"
"2017/05/03 7:37:21 PM GMT","Female","University","20","4","3","4","3","4","5","2","3","5","3","3","4","3","4","3","3","2","2","3","2","3","3","2","3","3","2","2","3","3","3","4","3","2","3","4","4","4","2","3","2","5","4","3","2","2","4","3","2","3","4"
"2017/05/03 7:37:25 PM GMT","Male","University","20","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2017/05/03 7:46:09 PM GMT","Male","University","22","5","4","3","3","4","4","4","3","4","4","5","5","4","4","5","5","5","2","5","4","4","3","1","3","5","4","5","3","4","4","5","4","3","4","5","5","4","3","4","4","5","5","4","5","4","5","5","4","4","4"
"2017/05/03 7:57:17 PM GMT","Male","University","19","2","4","1","5","5","2","4","2","3","3","4","4","2","4","5","5","3","3","3","2","2","3","3","4","3","4","3","4","4","4","3","2","3","3","1","3","3","2","4","3","4","2","2","4","3","2","4","4","3","4"
"2017/05/03 8:11:39 PM GMT","Female","University","20","5","2","2","1","1","5","4","4","3","2","3","4","2","4","4","4","2","2","1","2","2","3","2","4","4","2","4","5","1","4","2","1","3","4","4","4","4","2","5","1","4","4","5","3","5","5","4","2","4","1"
"2017/05/03 8:47:49 PM GMT","Male","University","33","5","4","5","3","4","4","4","5","4","4","3","2","3","4","4","4","4","4","4","4","4","4","3","3","4","4","4","3","4","2","3","5","5","4","5","4","3","4","4","5","5","4","4","4","4","4","3","4","4","4"
"2017/05/03 9:19:59 PM GMT","Male","University","23","5","3","5","3","5","5","3","3","3","3","1","5","3","3","3","3","3","3","5","3","3","3","3","3","1","3","1","1","3","3","1","3","1","1","5","5","1","5","3","3","5","5","3","3","5","3","5","5","3","3"
"2017/05/03 9:22:25 PM GMT","Male","University","23$!","5","3","5","3","3","5","4","5","3","4","4","5","3","4","3","4","3","2","4","2","3","2","3","3","3","3","3","3","2","4","3","1","3","5","4","4","3","5","4","3","4","3","5","3","2","3","5","4","4","3"
"2017/05/03 9:44:14 PM GMT","Male","University","28","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2017/05/03 10:32:17 PM GMT","Female","Professional workers","23","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","5","3","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3","5","3","3"
"2017/05/03 10:33:30 PM GMT","Male","University","22","4","4","3","4","4","4","3","3","4","4","3","4","2","4","4","3","4","2","3","4","4","3","3","3","3","4","3","4","4","4","4","3","4","3","4","4","3","4","4","2","3","3","4","4","4","3","4","2","3","3"
"2017/05/04 12:45:01 AM GMT","Male","University","23","5","3","2","1","3","5","5","4","5","5","5","3","3","4","5","3","4","3","3","3","5","1","3","3","3","4","3","5","5","5","3","5","5","5","5","5","3","5","5","5","3","4","4","4","5","5","5","5","3","4"
"2017/05/04 2:22:18 AM GMT","Male","University","20","3","2","2","4","5","1","3","3","4","2","5","5","1","3","3","2","5","2","2","2","2","1","3","2","5","4","3","4","3","4","3","3","3","3","4","4","2","3","3","3","4","3","3","4","3","3","5","3","2","3"
"2017/05/04 4:59:38 AM GMT","Male","Professional workers","31","2","3","3","3","3","5","3","4","5","3","4","3","3","3","4","4","5","2","3","4","4","1","3","3","3","3","3","1","3","3","3","3","3","4","5","4","1","4","3","4","3","3","4","3","3","3","4","4","3","3"
"2017/05/04 11:38:52 AM GMT","Male","Professional workers","33","3","4","4","3","4","4","4","5","3","5","4","3","3","3","4","4","3","5","3","3","3","4","4","3","4","3","4","3","4","1","3","4","3","3","4","3","4","5","3","2","3","3","3","3","4","4","3","4","3","4"
"2017/05/04 4:01:37 PM GMT","Male","University","22","5","3","3","1","5","5","5","4","3","3","5","1","3","4","3","5","4","3","4","5","5","1","5","3","3","4","3","1","5","3","3","4","4","3","5","5","1","3","4","3","1","3","4","3","3","5","5","5","5","5"
"2017/05/05 11:15:09 AM GMT","Male","Professional workers","34","5","5","3","5","5","5","1","3","5","5","5","5","3","4","5","5","3","4","4","5","5","4","3","3","3","4","4","4","5","5","5","5","4","5","5","5","5","3","4","5","4","5","5","5","5","5","4","4","5","5"
"2017/05/05 12:18:48 PM GMT","Male","University","55","3","3","3","2","3","3","2","3","3","2","3","2","3","2","3","3","2","2","3","1","3","2","3","2","2","3","2","2","2","2","3","3","1","2","2","3","2","2","2","2","3","3","3","2","3","3","2","3","2","3"
"2017/05/05 11:40:27 PM GMT","Male","University","22","5","5","3","5","5","5","3","3","5","5","5","3","5","5","5","5","5","3","3","1","1","3","3","5","5","3","3","3","3","1","5","5","1","5","3","5","3","3","5","5","5","5","3","3","5","5","3","3","3","5"
"2017/05/09 1:04:00 PM GMT","Male","University","20","2","3","3","2","2","3","2","1","2","2","3","3","2","3","2","3","2","2","3","2","2","1","2","1","1","1","1","3","2","1","2","1","2","1","3","3","1","2","2","1","3","3","2","2","2","3","3","2","1","2"
